task,cohort,feature_policy,model,fold,train_samples,val_samples,accuracy,precision,recall,f1_score,specificity,roc_auc
TASK_3_THREE_TIER_POLICY,ACCUMULATED_89,ORACLE_PERMISSION_ABLATION,Decision_Tree,2,71,18,0.7777777777777778,0.7583333333333333,0.7738095238095237,0.7555555555555555,-1.0,-1.0
TASK_3_THREE_TIER_POLICY,ACCUMULATED_89,ORACLE_PERMISSION_ABLATION,Decision_Tree,3,71,18,0.9444444444444444,0.9444444444444445,0.9444444444444445,0.9393939393939394,-1.0,-1.0
TASK_3_THREE_TIER_POLICY,ACCUMULATED_89,ORACLE_PERMISSION_ABLATION,Decision_Tree,4,71,18,0.9444444444444444,0.9583333333333334,0.9444444444444445,0.9474747474747475,-1.0,-1.0
TASK_3_THREE_TIER_POLICY,ACCUMULATED_89,ORACLE_PERMISSION_ABLATION,Decision_Tree,5,72,17,0.8823529411764706,0.8888888888888888,0.8968253968253969,0.8773892773892774,-1.0,-1.0
TASK_3_THREE_TIER_POLICY,ACCUMULATED_89,ORACLE_PERMISSION_ABLATION,Random_Forest,1,71,18,0.8888888888888888,0.8888888888888888,0.9047619047619048,0.8777777777777778,-1.0,-1.0
TASK_3_THREE_TIER_POLICY,ACCUMULATED_89,ORACLE_PERMISSION_ABLATION,Random_Forest,2,71,18,0.8333333333333334,0.8250000000000001,0.8214285714285715,0.8111111111111112,-1.0,-1.0
TASK_3_THREE_TIER_POLICY,ACCUMULATED_89,ORACLE_PERMISSION_ABLATION,Random_Forest,3,71,18,0.9444444444444444,0.9444444444444445,0.9444444444444445,0.9393939393939394,-1.0,-1.0
TASK_3_THREE_TIER_POLICY,ACCUMULATED_89,ORACLE_PERMISSION_ABLATION,Random_Forest,4,71,18,0.9444444444444444,0.9444444444444445,0.9444444444444445,0.9393939393939394,-1.0,-1.0
TASK_3_THREE_TIER_POLICY,ACCUMULATED_89,ORACLE_PERMISSION_ABLATION,Random_Forest,5,72,17,0.8823529411764706,0.8888888888888888,0.8968253968253969,0.8773892773892774,-1.0,-1.0
TASK_5_ANOMALY_DETECTION,ACCUMULATED_89,PRODUCTION_T0,Isolation_Forest,1,33,67,0.7014925373134329,0.47058823529411764,0.47058823529411764,0.6153846153846154,0.9393939393939394,0.8854723707664884
TASK_6_HYBRID_ENSEMBLE,ACCUMULATED_89,PRODUCTION_T0,Deterministic_Baseline_Rules,1,89,89,0.6179775280898876,1.0,0.6179775280898876,0.6179775280898876,1.0,-1.0
TASK_6_HYBRID_ENSEMBLE,ACCUMULATED_89,PRODUCTION_T0,Hybrid_Rule_RF_Ensemble,1,89,89,1.0,1.0,1.0,1.0,1.0,-1.0
