sample_id,timestamp,scenario_id,ground_truth_context,user_action,camera_event,camera_id,package_name,camera_permission,activity_state,app_visibility,foreground_service_active,foreground_service_type,screen_state,session_state,session_duration_ms,recent_user_interaction,lifecycle_event,camera_availability,notes
exp_20260926_000409_rep1_8e3053,2026-09-26T00:04:09.408Z,AMBIGUOUS_CONTEXT,AMBIGUOUS_CONTEXT,USER_EVALUATED_OBSERVATION,NONE,NONE,org.cameratestharness,GRANTED,RESUMED,FOREGROUND,false,none,ON_UNLOCKED,IDLE,0,true,NONE,UNKNOWN,rep=1;Ambiguous Context observation evaluated (no camera session initiated)
exp_20260926_000424_rep2_41fc88,2026-09-26T00:04:24.413Z,AMBIGUOUS_CONTEXT,AMBIGUOUS_CONTEXT,USER_EVALUATED_OBSERVATION,NONE,NONE,org.cameratestharness,GRANTED,RESUMED,FOREGROUND,false,none,ON_UNLOCKED,IDLE,0,true,NONE,UNKNOWN,rep=2;Ambiguous Context observation evaluated (no camera session initiated)
exp_20260926_000436_rep3_50bdfb,2026-09-26T00:04:36.278Z,AMBIGUOUS_CONTEXT,AMBIGUOUS_CONTEXT,USER_EVALUATED_OBSERVATION,NONE,NONE,org.cameratestharness,GRANTED,RESUMED,FOREGROUND,false,none,ON_UNLOCKED,IDLE,0,true,NONE,UNKNOWN,rep=3;Ambiguous Context observation evaluated (no camera session initiated)
