sample_id,timestamp,scenario_id,ground_truth_context,user_action,camera_event,camera_id,package_name,camera_permission,activity_state,app_visibility,foreground_service_active,foreground_service_type,screen_state,session_state,session_duration_ms,recent_user_interaction,lifecycle_event,camera_availability,notes
exp_20260926_000031_rep1_9ad0be,2026-09-26T00:00:31.136Z,PERMISSION_DENIED,PERMISSION_DENIED,USER_EVALUATED_PERMISSION_DENIED,NONE,NONE,org.cameratestharness,GRANTED,RESUMED,FOREGROUND,false,none,ON_UNLOCKED,IDLE,0,true,NONE,UNKNOWN,rep=1;Permission Denied scenario evaluated; camera acquisition withheld
exp_20260926_000047_rep2_4204a3,2026-09-26T00:00:47.138Z,PERMISSION_DENIED,PERMISSION_DENIED,USER_EVALUATED_PERMISSION_DENIED,NONE,NONE,org.cameratestharness,GRANTED,RESUMED,FOREGROUND,false,none,ON_UNLOCKED,IDLE,0,true,NONE,UNKNOWN,rep=2;Permission Denied scenario evaluated; camera acquisition withheld
exp_20260926_000056_rep3_885f70,2026-09-26T00:00:56.323Z,PERMISSION_DENIED,PERMISSION_DENIED,USER_EVALUATED_PERMISSION_DENIED,NONE,NONE,org.cameratestharness,GRANTED,RESUMED,FOREGROUND,false,none,ON_UNLOCKED,IDLE,0,true,NONE,UNKNOWN,rep=3;Permission Denied scenario evaluated; camera acquisition withheld
exp_20260926_000105_rep4_222268,2026-09-26T00:01:05.426Z,PERMISSION_DENIED,PERMISSION_DENIED,USER_EVALUATED_PERMISSION_DENIED,NONE,NONE,org.cameratestharness,GRANTED,RESUMED,FOREGROUND,false,none,ON_UNLOCKED,IDLE,0,true,NONE,UNKNOWN,rep=4;Permission Denied scenario evaluated; camera acquisition withheld
exp_20260926_000116_rep5_0f2d74,2026-09-26T00:01:16.100Z,PERMISSION_DENIED,PERMISSION_DENIED,USER_EVALUATED_PERMISSION_DENIED,NONE,NONE,org.cameratestharness,GRANTED,RESUMED,FOREGROUND,false,none,ON_UNLOCKED,IDLE,0,true,NONE,UNKNOWN,rep=5;Permission Denied scenario evaluated; camera acquisition withheld
