cohort,system,total_sessions,overall_accuracy,macro_f1,tier1_coverage_rate,unknown_rate,ml_invocation_rate,unknown_resolution_rate,ml_subset_accuracy,false_legitimate_count,false_ambiguous_count,confusion_matrix_csv
TARGETED_41,System_A_Deterministic_Rules,41,0.6097560975609756,0.6097560975609756,0.6097560975609756,0.3902439024390244,0.0,0.0,0.0,0,0,25;16
TARGETED_41,System_B_Standalone_Decision_Tree,41,0.9024390243902439,0.9005830418124271,0.0,0.0,1.0,1.0,0.9024390243902439,0,1,13;3;0|0;10;0|1;0;14
TARGETED_41,System_C_Hybrid_Rule_Decision_Tree,41,0.926829268292683,0.9220389805097451,0.6097560975609756,0.3902439024390244,0.3902439024390244,1.0,0.8125,0,0,13;3;0|0;10;0|0;0;15
ACCUMULATED_89,System_A_Deterministic_Rules,89,0.6179775280898876,0.6179775280898876,0.6179775280898876,0.38202247191011235,0.0,0.0,0.0,0,0,55;34
ACCUMULATED_89,System_B_Standalone_Decision_Tree,89,0.8651685393258427,0.8624338624338624,0.0,0.0,1.0,1.0,0.8651685393258427,1,0,26;7;1|0;22;0|0;4;29
ACCUMULATED_89,System_C_Hybrid_Rule_Decision_Tree,89,0.9101123595505618,0.9048287971905179,0.6179775280898876,0.38202247191011235,0.38202247191011235,1.0,0.7647058823529411,1,0,26;7;1|0;22;0|0;0;33
